Movie_Name,Contributors,Budget,Revenue
One for the Money,"['Julie Anne Robinson', 'Katherine Heigl', ""Jason O'Mara"", 'Daniel Sunjata', 'John Leguizamo', 'Sherri Shepherd', 'Debbie Reynolds']",40,36893721
The Odd Life of Timothy Green,"['Peter Hedges', 'Jennifer Garner', 'Joel Edgerton', 'Odeya Rush', 'Dianne Wiest', 'CJ Adams', 'Rosemarie DeWitt', 'Ron Livingston', 'David Morse', 'Common']",40,55.3
Cloud Atlas,"['The Wachowskis', 'Tom Tykwer', 'Tom Hanks', 'Halle Berry', 'Jim Broadbent', 'Hugo Weaving', 'Jim Sturgess', 'Doona Bae', 'Ben Whishaw', ""James D'Arcy"", 'Zhou Xun', 'Keith David', 'David Gyasi', 'Susan Sarandon', 'Hugh Grant']",102,130482868
LUV,"['Common', 'Dennis Haysbert']",0,156996
Hyde Park on Hudson,"['Roger Michell', 'Richard Nelson', 'Bill Murray', 'Laura Linney']",0,8887603
Ruby Sparks,"['Jonathan Dayton\nValerie Faris', 'Zoe Kazan', 'Paul Dano', 'Annette Bening', 'Antonio Banderas', 'Steve Coogan', 'Elliott Gould', 'Chris Messina']",0,9128263
House at the End of the Street,"['Mark Tonderai', 'Jonathan Mostow', 'Jennifer Lawrence', 'Max Thieriot', 'Gil Bellows', 'Elisabeth Shue', 'Nolan Gerard Funk', 'Allie MacDonald']",6.9,42781908
ParaNorman,"['Sam Fell', 'Kodi Smit-McPhee', 'Tucker Albrizzi', 'Anna Kendrick', 'Casey Affleck', 'Christopher Mintz-Plasse', 'Leslie Mann', 'Jeff Garlin', 'Elaine Stritch', 'Bernard Hill', 'Jodelle Ferland', 'Tempestt Bledsoe', 'Alex Borstein', 'John Goodman']",60,107139399
Bullet to the Head,"['Walter Hill', 'Sylvester Stallone', 'Sung Kang', 'Sarah Shahi', 'Adewale Akinnuoye-Agbaje', 'Christian Slater', 'Jason Momoa']",55,13561515
Safe House,"['Daniel Espinosa', 'Denzel Washington', 'Ryan Reynolds']",85,208076205
Seeking a Friend for the End of the World,"['Lorene Scafaria', 'Steve Carell', 'Keira Knightley', 'Adam Brody', 'Derek Luke', 'William Petersen']",0,9636289
Django Unchained,"['Quentin Tarantino', 'Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington', 'Samuel L. Jackson']",100,425368238
Contraband,[],0,0
The Oogieloves in the Big Balloon Adventure,"['Matthew Diamond', 'Chazz Palminteri', 'Cloris Leachman', 'Jaime Pressly', 'Christopher Lloyd', 'Cary Elwes', 'Toni Braxton']",40  (+ Marketing),1065907
Amour,[],0,0
Alex Cross,"['Rob Cohen', 'Tyler Perry', 'Matthew Fox']",35,34618867
Emperor,"['Peter Webber', 'David Klass', 'Tommy Lee Jones', 'Matthew Fox', 'Eriko Hatsune', 'Toshiyuki Nishida', 'Masatoshi Nakamura', 'Kaori Momoi']",0,14667451
Killing Them Softly,"['Andrew Dominik', 'Brad Pitt', 'Scoot McNairy', 'Ben Mendelsohn', 'Richard Jenkins', 'James Gandolfini', 'Ray Liotta', 'Sam Shepard']",15,37930465
The Woman in Black,"['James Watkins', 'Daniel Radcliffe', 'Ciarn Hinds', 'Janet McTeer', 'Liz White']",15,127730736
