year,Movie_Name,Budget,Contributors,Revenue
2003,A Man Apart,36000000.0,"F. Gary Gray, Christian Gudegast, Paul Scheuring, Larenz Tate, Timothy Olyphant, Geno Silva, Steve Eastin",44350926 
2003,My Boss's Daughter,14000000.0,"David Zucker, David S. Dorfman, Ashton Kutcher, Tara Reid, Andy Richter, Michael Madsen, Terence Stamp, Molly Shannon",18191005
2003,Anger Management,75000000.0,"Peter Segal, David S. Dorfman, Adam S,ler, Jack Nicholson, Marisa Tomei, Luis Guzmn, Allen Covert, Lynne Thigpen, Kurt Fuller, Jonathan Loughran, Krista Allen, January Jones, Woody Harrelson, John Turturro",195745823
2003,Kill Bill Vol. 1,60000000.0,"Quentin Tarantino, Uma Thurman, David Carradine, Lucy Liu, Michael Madsen, Daryl Hannah, Sonny Chiba, Vivica A. Fox, Gordon Liu, Julie Dreyfus",333108506
2003,Gothika,40000000.0,"Mathieu Kassovitz, Sebastian Gutierrez, Halle Berry, Robert Downey Jr., Charles S. Dutton, John Carroll Lynch, Bernard Hill, Penlope Cruz",141591324
2003,The Cat in the Hat,109000000.0,"Bo Welch, Mike Myers, Alec Baldwin, Kelly Preston, Dakota Fanning, Spencer Breslin, Amy Hill, Sean Hayes",133960541
2003,Elf,33000000.0,"Jon Favreau, Will Ferrell, James Caan, Edward Asner, Bob Newhart, Zooey Deschanel",220400000.0
2003,Secondhand Lions,30000000.0,"Tim McCanlies, Haley Joel Osment, Robert Duvall, Michael Caine, Kyra Sedgwick",47902566
2003,Gods and Generals,56000000,"Ronald F. Maxwell, Jeff Daniels, Stephen Lang, Robert Duvall",12923936
2003,Anything Else,18000000.0,"Woody Allen, Jason Biggs, Christina Ricci, Stockard Channing, Danny DeVito, Jimmy Fallon, KaDee Strickl,",13585075
2003,In the Cut,12000000.0,"Jane Campion, Meg Ryan, Mark Ruffalo, Jennifer Jason Leigh",23726793
2003,Dreamcatcher,68000000.0,"Lawrence Kasdan, Morgan Freeman, Thomas Jane, Jason Lee, Damian Lewis, Timothy Olyphant, Tom Sizemore, Donnie Wahlberg",75715436
2003,Timeline,80000000.0,"Richard Donner, Paul Walker, ""Frances OConnor"", Gerard Butler, Billy Connolly, David Thewlis, Anna Friel, Lambert Wilson",43935763
2003,What a Girl Wants,25000000.0,"Dennie Gordon, Jenny Bicks, Elizabeth Ch,ler, Am,a Bynes, Colin Firth, Kelly Preston, Oliver James",50732139
2003,Terminator 3: Rise of the Machines,200000000.0,"Jonathan Mostow, Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken",433371112
2003,The Lord of the Rings: The Return of the King,94000000.0,"Peter Jackson, Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Billy Boyd, Dominic Monaghan, Orl,o Bloom, Hugo Weaving, Mir,a Otto, David Wenham, Karl Urban, John Noble, Andy Serkis, Ian Holm, Sean Bean",1120000000.0
2003,Cabin Fever,1500000.0,"Eli Roth, Rider Strong, Jordan Ladd, James DeBello, Cerina Vincent, Joey Kern, Arie Verveen, Giuseppe Andrews",30553394
2003,Identity,28000000.0,"James Mangold, Pruitt Taylor Vince, John Cusack, Ray Liotta, Am,a Peet, Alfred Molina, Clea DuVall, Rebecca De Mornay",90259536
2003,View from the Top,30000000.0,"Bruno Barreto, Gwyneth Paltrow, Mark Ruffalo, C,ice Bergen, Kelly Preston, Rob Lowe, Mike Myers",19500000.0
2003,S.W.A.T.,70000000.0,"Clark Johnson, Samuel L. Jackson, Colin Farrell, Michelle Rodriguez, LL Cool J",207100000.0
2003,Just Married,18000000.0,"Shawn Levy, Sam Harper, Ashton Kutcher, Brittany Murphy, Christian Kane, David Moscow",101564939
2003,Bend It Like Beckham,6000000.0,"Gurinder Chadha, Paul Mayeda Berges, Parminder Nagra, Jonathan Rhys Meyers, Keira Knightley, Archie Panjabi, Shaznay Lewis, Anupam Kher, Preeya Kalidas",76583333
2003,Intolerable Cruelty,60000000.0,"Joel Coen,Ethan Coen, George Clooney, Catherine Zeta-Jones, Geoffrey Rush, Cedric The Entertainer, Edward Herrmann, Paul Adelstein, Richard Jenkins, Billy Bob Thornton",120217409
2003,Pirates of the Caribbean: The Curse of the Black Pearl,140000000.0,"Gore Verbinski, Johnny Depp, Geoffrey Rush, Orl,o Bloom, Keira Knightley, Jonathan Pryce",654264015
2003,Freaky Friday,20000000.0,"Mark Waters, Jamie Lee Curtis, Lindsay Lohan, Harold Gould, Chad Michael Murray, Mark Harmon",160846332
2003,Dickie Roberts: Former Child Star,17000000.0,"Sam Weisman, David Spade, Fred Wolf, Mary McCormack, Craig Bierko, Rob Reiner",23794648
2003,The Lizzie McGuire Movie,17000000.0,"Jim Fall, Susan Estelle Jansen, Ed Decter, John J. Strauss, Hilary Duff, Adam Lamberg, Robert Carradine, Hallie Todd, Jake Thomas, Yani Gellman",55534455
2003,The Medallion,41000000.0,"Gordon Chan, Bey Logan, Jackie Chan, Lee Evans, Claire Forlani, Julian S,s",34268701
2003,American Wedding,55000000.0,"Jesse Dylan, Jason Biggs, Seann William Scott, Alyson Hannigan, Eddie Kaye Thomas, Thomas Ian Nicholas, January Jones, Fred Willard, Eugene Levy",231449203
2003,The Rundown,85000000.0,"Peter Berg, The Rock, Seann William Scott, Christopher Walken, Rosario Dawson, Ewen Bremner, Jon Gries",80916492
2003,Cheaper by the Dozen,40000000.0,"Shawn Levy, Steve Martin",190212113
2003,Confidence,15000000.0,"James Foley, Edward Burns, Rachel Weisz, Andy Garca, Paul Giamatti, Luis Guzmn, Donal Logue, Brian Van Holt, Robert Forster, Franky G, Lel, Orser, Morris Chestnut, Dustin Hoffman",23014206
2003,Underworld,22000000.0,"Len Wiseman, Kate Beckinsale, Scott Speedman, Michael Sheen, Shane Brolly, Erwin Leder, Bill Nighy",95708457
2003,"Lara Croft Tomb Raider:
The Cradle of Life",95000000.0,"Jan de Bont, Angelina Jolie, Gerard Butler, Noah Taylor, Ciarn Hinds, Djimon Hounsou, Til Schweiger, Christopher Barrie",156505388
2003,Bruce Almighty,81000000.0,"Tom Shadyac, Morgan Freeman, Jennifer Aniston, Lisa Ann Walter, Philip Baker Hall, Steve Carrell",484592874
